level,anonymized_message
INFO,Created MRAppMaster for application appattempt_-_-_-
INFO,Executing with tokens:
INFO,"Kind: YARN_AM_RM_TOKEN, Service: , Ident: (appAttemptId { application_id { id: - cluster_timestamp: - } attemptId: - } keyId: -)"
INFO,Using mapred newApiCommitter.
INFO,OutputCommitter set in config null
INFO,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
INFO,Registering class org.apache.hadoop.mapreduce.jobhistory.EventType for class org.apache.hadoop.mapreduce.jobhistory.JobHistoryEventHandler
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.job.event.JobEventType for class org.apache.hadoop.mapreduce.v-.app.MRAppMaster$JobEventDispatcher
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.job.event.TaskEventType for class org.apache.hadoop.mapreduce.v-.app.MRAppMaster$TaskEventDispatcher
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.job.event.TaskAttemptEventType for class org.apache.hadoop.mapreduce.v-.app.MRAppMaster$TaskAttemptEventDispatcher
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.commit.CommitterEventType for class org.apache.hadoop.mapreduce.v-.app.commit.CommitterEventHandler
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.speculate.Speculator$EventType for class org.apache.hadoop.mapreduce.v-.app.MRAppMaster$SpeculatorEventDispatcher
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.rm.ContainerAllocator$EventType for class org.apache.hadoop.mapreduce.v-.app.MRAppMaster$ContainerAllocatorRouter
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.launcher.ContainerLauncher$EventType for class org.apache.hadoop.mapreduce.v-.app.MRAppMaster$ContainerLauncherRouter
INFO,Default file system [hdfs:file_path
INFO,Default file system [hdfs:file_path
INFO,Default file system [hdfs:file_path
INFO,Emitting job history data to the timeline server is not enabled
INFO,Registering class org.apache.hadoop.mapreduce.v-.app.job.event.JobFinishEvent$Type for class org.apache.hadoop.mapreduce.v-.app.MRAppMaster$JobFinishEventHandler
INFO,loaded properties from hadoop-metrics-.properties
INFO,Scheduled snapshot period at - second(s).
INFO,MRAppMaster metrics system started
INFO,Adding job token for job_id to jobTokenSecretManager
INFO,Not uberizing job_id because: not enabled; too many maps; too much input;
INFO,Input size for job job_id = -. Number of splits = -
INFO,Number of reduces for job job_id = -
INFO,job_idJob Transitioned from NEW to INITED
INFO,"MRAppMaster launching normal, non-uberized, multi-container job job_id."
INFO,Using callQueue class java.util.concurrent.LinkedBlockingQueue
INFO,Starting Socket Reader #- for port port_number
INFO,Adding protocol org.apache.hadoop.mapreduce.v-.api.MRClientProtocolPB to the server
INFO,IPC Server Responder: starting
INFO,IPC Server listener on port_number: starting
INFO,Instantiated MRClientService at MSRA-SA--.fareast.corp.microsoft.comfile_path
INFO,Logging to org.slf-j.impl.Log-jLoggerAdapter(org.mortbay.log) via org.mortbay.log.Slf-jLog
INFO,Http request log for http.requests.mapreduce is not defined
INFO,Added global filter 'safety' (class=org.apache.hadoop.http.HttpServer-$QuotingInputFilter)
INFO,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
INFO,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context static
INFO,adding path spec: file_path
INFO,adding path spec: file_path
INFO,Jetty bound to port port_number
INFO,jetty--.-.-
INFO,Extract jar:file:file_path to C:\Users\msrabi\AppData\Local\Temp\-\Jetty_-_-_-_-_-_mapreduce____j-iclo\webapp
INFO,Started HttpServer-$SelectChannelConnectorWithSafeStartup@ip_address:port_number
INFO,Web app file_path started at port_number
INFO,Registered webapp guice modules
INFO,JOB_CREATE job_id
INFO,Using callQueue class java.util.concurrent.LinkedBlockingQueue
INFO,Starting Socket Reader #- for port port_number
INFO,IPC Server Responder: starting
INFO,IPC Server listener on port_number: starting
INFO,nodeBlacklistingEnabled:true
INFO,maxTaskFailuresPerNode is -
INFO,blacklistDisablePercent is -
INFO,Connecting to ResourceManager at MSRA-SA--file_path
INFO,"maxContainerCapability: <memory:port_number, vCores:->"
INFO,queue: default
INFO,Upper limit on the thread pool size is -
INFO,yarn.client.max-cached-nodemanagers-proxies : -
INFO,job_idJob Transitioned from INITED to SETUP
INFO,Processing the event EventType: JOB_SETUP
INFO,job_idJob Transitioned from SETUP to RUNNING
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,task_-_-_m_- Task Transitioned from NEW to SCHEDULED
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,task_-_-_m_- Task Transitioned from NEW to SCHEDULED
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,task_-_-_m_- Task Transitioned from NEW to SCHEDULED
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,task_-_-_m_- Task Transitioned from NEW to SCHEDULED
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,task_-_-_m_- Task Transitioned from NEW to SCHEDULED
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,task_-_-_m_- Task Transitioned from NEW to SCHEDULED
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
INFO,task_-_-_m_- Task Transitioned from NEW to SCHEDULED
INFO,Resolved MSRA-SA--.fareast.corp.microsoft.com to file_path
